password,name,nickname,image,email,coach_id,league_manager_id,role
password,Carolina Franecki,Caro,null,coach1@test.com,null,1,coach
password,Jayda Bradtke,Jay,null,coach2@test.com,null,1,coach
password,Kyleigh Berge,Kyle,null,coach3@test.com,null,1,coach
password,Janae Senger,Janae,null,coach4@test.com,null,1,coach
password,Colton Lemke,Colt,null,coach5@test.com,null,1,coach
password,Rosalind Renner,Rosa,null,coach6@test.com,null,1,coach
password,Bradford Bosco,Brad,null,lm@test.com,null,null,league_manager
password,Darien Towne,Darien,null,player10@test.com,1,null,player
password,Tiffany Nitzsche,Tiff,null,player11@test.com,1,null,player
password,Gino Bechtelar,Gino,null,player12@test.com,1,null,player
password,Kailey Nader,Kailey,null,player13@test.com,1,null,player
password,Sherman Herzog,Sherman,null,player14@test.com,1,null,player
password,Duane Grimes,Duey,null,player15@test.com,1,null,player
password,Jack Turner,Jack,null,player16@test.com,1,null,player
password,Raymundo Dare,Ray,null,player17@test.com,1,null,player
password,Blair Wehner,Blair,null,player18@test.com,1,null,player
password,Saige Kovacek,Saige,null,player19@test.com,1,null,player
password,Savanah Sawayn,Ana,null,player20@test.com,2,null,player
password,Kathryne Windler,Kathy,null,player21@test.com,2,null,player
password,Renee Runte,Renee,null,player22@test.com,2,null,player
password,Rolando Labadie,Rolo,null,player23@test.com,2,null,player
password,Katelynn Hintz,Kate,null,player24@test.com,2,null,player
password,Nicklaus Schmitt,Nick,null,player25@test.com,2,null,player
password,Americo McCullough,Amy,null,player26@test.com,2,null,player
password,Annie Heller,Ann,null,player27@test.com,2,null,player
password,Katherine Halvorson,Katy,null,player28@test.com,2,null,player
password,Riley Heaney,Riley,null,player29@test.com,2,null,player
password,Kaylin Kohler,Kay,null,player30@test.com,3,null,player
password,Taurean Stracke,Taurean,null,player31@test.com,3,null,player
password,Elton Wyman,Elton,null,player32@test.com,3,null,player
password,Dylan Kuhic,Dylan,null,player33@test.com,3,null,player
password,Cleveland O'Reilly,Cleveland,null,player34@test.com,3,null,player
password,Shane Bechtelar,Shane,null,player35@test.com,3,null,player
password,Pink Johnston,Pink,null,player36@test.com,3,null,player
password,Kelly Corwin,Kelly,null,player37@test.com,3,null,player
password,Payton Skiles,Payton,null,player38@test.com,3,null,player
password,Jovany Ernser,Jovany,null,player39@test.com,3,null,player
password,Regan Rohan,Regan,null,player40@test.com,4,null,player
password,Mikayla Raynor,Mikayla,null,player41@test.com,4,null,player
password,Donato Mohr,Don,null,player42@test.com,4,null,player
password,Destin Goldner,Destin,null,player43@test.com,4,null,player
password,Cloyd Howe,Cloyd,null,player44@test.com,4,null,player
password,Alexandria Davis,Alex,null,player45@test.com,4,null,player
password,Elyssa Hayes,Elyssa,null,player46@test.com,4,null,player
password,Daija O'Kon,Daija,null,player47@test.com,4,null,player
password,Ocie Crooks,Ocie,null,player48@test.com,4,null,player
password,Earlene Steuber,Earlene,null,player49@test.com,4,null,player
password,Kameron McCullough,Kam,null,player50@test.com,5,null,player
password,Bethel Reichel,Beth,null,player51@test.com,5,null,player
password,Wava Goldner,Wava,null,player52@test.com,5,null,player
password,Nikita Kunde,Niki,null,player53@test.com,5,null,player
password,Royal Cremin,Roy,null,player54@test.com,5,null,player
password,Marc Corkery,Marc,null,player55@test.com,5,null,player
password,Orville Mann,Oroville,null,player56@test.com,5,null,player
password,Manley Armstrong,Manley,null,player57@test.com,5,null,player
password,Bianka Friesen,Bianka,null,player58@test.com,5,null,player
password,Austen Weimann,Austen,null,player59@test.com,5,null,player
password,Selmer Zboncak,Selmer,null,player60@test.com,6,null,player
password,Abe Murray,Abe,null,player61@test.com,6,null,player
password,Gerson Reinger,Gerson,null,player62@test.com,6,null,player
password,Bennie Zboncak,Ben,null,player63@test.com,6,null,player
password,Timmothy King,Tim,null,player64@test.com,6,null,player
password,Alisha Weber,Ali,null,player65@test.com,6,null,player
password,Ahmad Wisoky,Ahmad,null,player66@test.com,6,null,player
password,Grayson Berge,Gray,null,player67@test.com,6,null,player
password,Tina Windler,Tina,null,player68@test.com,6,null,player
password,Laury Marquardt,Laury,null,player69@test.com,6,null,player
